Vulnerability ID,Suggested Component,Erroneous Affected Component,Evidence
CVE-2019-15477,maven__split__org.jooby:jooby,maven__split__io.jooby:jooby,"the truly affected component may be org.jooby:jooby, according to the patch: https://github.com/jooby-project/jooby/pull/1368/commits/34856a738829d8fedca4ed27bd6ff413af87186f, the current version is io.jooby:jooby, but the affected version is org.jooby:jooby"
CVE-2018-20094,maven__split__com.xuxueli:xxl-conf-admin,maven__split__com.xuxueli:xxl-conf,"as mentioned in the poc, https://github.com/xuxueli/xxl-conf/issues/61, the ConfController.java line 150 are affected, and this method is located in https://github.com/xuxueli/xxl-conf/blob/6726dfe7979ea6d8fb983771471cde69789de632/xxl-conf-admin/src/main/java/com/xxl/conf/admin/controller/ConfController.java, the scope can be more specific: com.xuxueli:xxl-conf-admin"
CVE-2021-29451,"maven__split__com.manydesigns:portofino-core
maven__split__com.manydesigns:portofino-dispatcher",maven__split__com.manydesigns:portofino,"according to the cve desc: 'not properly verify the signature of JSON Web Tokens', and in the patch: https://github.com/ManyDesigns/Portofino/commit/8c754a0ad234555e813dcbf9e57d637f9f23d8fb#diff-8a8b092c544d8d29123de4a051fc204cf45c9b463382e93f9e24f443a22fa987, we can fine the affected components are portofino-core and portofino-dispatcher"
CVE-2019-12421,"maven__split__org.apache.nifi:nifi-web-security
maven__split__org.apache.nifi:nifi-web-api",maven__split__org.apache.nifi:nifi,"according to the advisory(https://nifi.apache.org/security.html#CVE-2019-12421) and patch(https://github.com/apache/nifi/commit/cf6f5172503ce438c6c22c334c9367f774db7b24), the affected compoents are in nifi-web, more specifically, nifi-web-security and nifi-web-api"
CVE-2019-10357,maven__split__org.jenkins-ci.plugins.workflow:workflow-cps-global-lib,maven__split__org.jenkins-ci.plugins:workflow-cps-global-lib,"the advisory is: https://www.jenkins.io/security/advisory/2019-07-31/#SECURITY1422, the patch is: https://github.com/jenkinsci/workflow-cps-global-lib-plugin/commit/6fce1e241d82641e8648c546bc63c22a5e07e96b, the artifact id is org.jenkins-ci.plugins.workflow:workflow-cps-global-lib(https://github.com/jenkinsci/workflow-cps-global-lib-plugin/blob/6fce1e241d82641e8648c546bc63c22a5e07e96b/pom.xml)"
CVE-2018-17194,maven__split__org.apache.nifi:nifi-framework-cluster,maven__split__org.apache.nifi:nifi,"according to the patch: https://github.com/apache/nifi/pull/3035/commits/1baead6f525046a613fc4fe494a0d193776ea70f, the affected component is org.apache.nifi:nifi-framework-cluster"
CVE-2017-1000034,maven__split__com.typesafe.akka:akka-actor,"maven__split__com.typesafe.akka:akka-actor_2.12
maven__split__com.typesafe.akka:akka-actor
maven__split__com.typesafe.akka:akka-actor_2.11","the affected maven component may not contain information about version, it is not standardized"
CVE-2007-4556,maven__split__opensymphony:xwork,maven__split__com.opensymphony:xwork,"we found the opensymphony xwork affected version is below 2.0.4, and com.opensymphony:xwork is > 2.0.4, the affected ga is opensymphony:xwork actually."
CVE-2021-26118,maven__split__org.apache.activemq:artemis-openwire-protocol,maven__split__org.apache.activemq:apache-artemis,"OpenWire protocol head of Apache ActiveMQ Artemis 2.15.0 (artifactid: artemis-openwire-protocol) bypassed policy based access control for the entire session, https://github.com/apache/activemq-artemis/pull/3315/files"
CVE-2021-23267,maven__split__org.craftercms:crafter-studio,maven__split__org.craftercms:craftercms,Improper control of code resources vulnerability in Crafter Studio of Crafter CMS allows authenticated developers to execute OS commands via FreeMarker static methods in org.craftercms:crafter-engine
CVE-2020-8828,go__split__github.com:argoproj:argo-workflows,go__split__github.com:argoproj:argo,"the advisory is https://argo-cd.readthedocs.io/en/stable/security_considerations/#cve-2020-8828-insecure-default-administrative-password, the github repo is: https://github.com/argoproj/argo, and the module name in go.mod is github.com/argoproj/argo-workflows"
CVE-2021-41766,maven__split__org.apache.karaf.management:org.apache.karaf.management.server,"maven__split__org.apache.karaf:apache-karaf
maven__split__org.apache.karaf:karaf","Whereas the default JMX implementation is hardened against unauthenticated deserialization attacks, the implementation used by Apache Karaf is not protected against this kind of attack. this is the advisory: https://issues.apache.org/jira/browse/KARAF-7312; this is the patch to avoid deserialization: https://github.com/apache/karaf/pull/1475/files"
CVE-2020-1954,"maven__split__org.apache.cxf:cxf-rt-management
maven__split__org.apache.cxf:cxf-bundle","maven__split__org.apache.cxf:cxf-core
maven__split__org.apache.cxf:cxf-rt-management
maven__split__org.apache.cxf:cxf","Apache CXF can integrate with JMX using an InstrumentationManager extension. If the 'createMBServerConnectorFactory' property of the default InstrumentationManagerImpl is not disabled, it is vulnerable to MITM attacks. And the 'createMBServerConnectorFactory' property of the default InstrumentationManagerImpl is in org.apache.cxf:cxf-rt-management (https://github.com/apache/cxf/blob/5c64b7a10227d59cd61f9e61a64496e57bf2e1b6/rt/management/src/main/java/org/apache/cxf/management/jmx/InstrumentationManagerImpl.java#L59) and artifact org.apache.cxf:cxf-bundle contain org.apache.cxf:cxf-rt-management which is also affected"
CVE-2017-14868,maven__split__org.restlet.jse:org.restlet.ext.jaxrs,"maven__split__org.restlet.jse:org.restlet
maven__split__org.restlet.jee:org.restlet",This affects use of org.restlet.ext.jaxrs (Jax-rs extension). Ref: https://github.com/restlet/restlet-framework-java/wiki/XEE-security-enhancements
CVE-2021-34371,maven__split__org.neo4j:neo4j-shell,maven__split__org.neo4j:neo4j,"Neo4j through 3.4.18 exposes an RMI service that arbitrarily deserializes Java objects, the exploit is worked with shellserver in neo4j-shell-3.4.18.jar: https://www.exploit-db.com/exploits/50170"
